title_pt;title_en;year;rating;genre;sinopse;word_count;sinopse_no_stopwords;cluster
The Shawshank Redemption;Um Sonho de Liberdade;1994;9.3;Epic;a banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.;28;banker convicted of uxoricide forms friendship over quarter century with hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.;1
The Godfather;O Poderoso Chefão;1972;9.2;Epic;the aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.;18;the aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.;3
The Dark Knight;Batman: O Cavaleiro das Trevas;2008;9.1;Action Epic;when a menace known as the joker wreaks havoc and chaos on the people of gotham, batman, james gordon and harvey dent must work together to put an end to the madness.;32;when menace known the joker wreaks havoc and chaos on the people of gotham, batman, james gordon and harvey dent must work together to put an end to the madness.;3
The Godfather Part II;O Poderoso Chefão: Parte II;1974;9.0;Epic;the early life and career of vito corleone in 1920s new york city is portrayed, while his son, michael, expands and tightens his grip on the family crime syndicate.;29;the early life and career of vito corleone in 1920s new york city is portrayed, while his son, michael, expands and tightens his grip on the family crime syndicate.;3
12 Angry Men;12 Homens e uma Sentença;1957;9.0;Legal Drama;the jury in a new york city murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.;32;the jury in new york city murder trial is frustrated by single member whose skeptical caution forces them to more carefully consider the evidence before jumping to hasty verdict.;4
The Lord of the Rings: The Return of the King;O Senhor dos Anéis: O Retorno do Rei;2003;9.0;Action Epic;gandalf and aragorn lead the world of men against sauron's army to draw his gaze from frodo and sam as they approach mount doom with the one ring.;28;gandalf and aragorn lead the world of men against sauron's army to draw his gaze from frodo and sam they approach mount doom with the one ring.;0
Schindler's List;A Lista de Schindler;1993;9.0;Docudrama;in german-occupied poland during world war ii, industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis.;24;in german-occupied poland during world war ii, industrialist oskar schindler gradually becomes concerned his jewish workforce after witnessing their persecution by the nazis.;0
The Lord of the Rings: The Fellowship of the Ring;O Senhor dos Anéis: A Sociedade do Anel;2001;8.9;Action Epic;a meek hobbit from the shire and eight companions set out on a journey to destroy the powerful one ring and save middle-earth from the dark lord sauron.;28;meek hobbit from the shire and eight companions set out on journey to destroy the powerful one ring and save middle-earth from the dark lord sauron.;0
Pulp Fiction;Pulp Fiction: Tempo de Violência;1994;8.8;Dark Comedy;the lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.;27;the lives of two mob hitmen, boxer, gangster and his wife, and pair of diner bandits intertwine in four tales of violence and redemption.;1
The Good, the Bad and the Ugly;Três Homens em Conflito;1966;8.8;Action Epic;a bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.;27;bounty-hunting scam joins two men in an uneasy alliance against third in race to find fortune in gold buried in remote cemetery.;1
Forrest Gump;Forrest Gump: O Contador de Histórias;1994;8.8;Epic;the history of the united states from the 1950s to the '70s unfolds from the perspective of an alabama man with an iq of 75, who yearns to be reunited with his childhood sweetheart.;34;the history of the united states from the 1950s to the '70s unfolds from the perspective of an alabama man with an iq of 75, who yearns to be reunited with his childhood sweetheart.;3
The Lord of the Rings: The Two Towers;O Senhor dos Anéis: As Duas Torres;2002;8.8;Action Epic;while frodo and sam edge closer to mordor with the help of the shifty gollum, the divided fellowship makes a stand against sauron's new ally, saruman, and his hordes of isengard.;31;while frodo and sam edge closer to mordor with the help of the shifty gollum, the divided fellowship makes stand against sauron's new ally, saruman, and his hordes of isengard.;0
Fight Club;Clube da Luta;1999;8.8;Dark Comedy;an insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.;19;an insomniac office worker and devil-may-care soap maker form an underground fight club that evolves into much more.;2
Inception;A Origem;2010;8.8;Action Epic;a thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a c.e.o., but his tragic past may doom the project and his team to disaster.;40;thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of c.e.o., but his tragic past may doom the project and his team to disaster.;2
Star Wars: Episode V - The Empire Strikes Back;Star Wars: Episódio V - O Império Contra-Ataca;1980;8.7;Action Epic;after the empire overpowers the rebel alliance, luke skywalker begins training with jedi master yoda, while darth vader and bounty hunter boba fett pursue his friends across the galaxy.;29;after the empire overpowers the rebel alliance, luke skywalker begins training with jedi master yoda, while darth vader and bounty hunter boba fett pursue his friends across the galaxy.;0
The Matrix;Matrix;1999;8.7;Action Epic;when a beautiful stranger leads computer hacker neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.;28;when beautiful stranger leads computer hacker neo to forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.;3
Goodfellas;Os Bons Companheiros;1990;8.7;Docudrama;the story of henry hill and his life in the mafia, covering his relationship with his wife karen and his mob partners jimmy conway and tommy devito.;27;the story of henry hill and his life in the mafia, covering his relationship with his wife karen and his mob partners jimmy conway and tommy devito.;1
Interstellar;Interestelar;2014;8.7;Adventure Epic;when earth becomes uninhabitable in the future, a farmer and ex-nasa pilot, joseph cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.;33;when earth becomes uninhabitable in the future, farmer and ex-nasa pilot, joseph cooper, is tasked to pilot spacecraft, along with team of researchers, to find new planet humans.;3
One Flew Over the Cuckoo's Nest;Um Estranho no Ninho;1975;8.7;Medical Drama;a rebellious convict is sent to a psychiatric hospital for evaluation in 1963 oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.;32;rebellious convict is sent to psychiatric hospital evaluation in 1963 oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.;1
Se7en;Seven - Os Sete Crimes Capitais;1995;8.6;Cop Drama;two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.;20;two detectives, rookie and veteran, hunt serial killer who uses the seven deadly sins his motives.;1
It's a Wonderful Life;A Felicidade Não se Compra;1946;8.6;Feel-Good Romance;an angel is sent from heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.;26;an angel is sent from heaven to help desperately frustrated businessman by showing him what life would have been like if he had never existed.;4
The Silence of the Lambs;O Silêncio dos Inocentes;1991;8.6;Police Procedural;a young f.b.i. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.;27;young f.b.i. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, madman who skins his victims.;3
Seven Samurai;Os Sete Samurais;1954;8.6;Action Epic;farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.;22;farmers from village exploited by bandits hire veteran samurai protection, and he gathers six other samurai to join him.;4
Saving Private Ryan;O Resgate do Soldado Ryan;1998;8.6;Epic;following the normandy landings, a group of u.s. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.;24;following the normandy landings, group of u.s. soldiers go behind enemy lines to retrieve paratrooper whose comrades have been killed in action.;4
The Green Mile;À Espera de um Milagre;1999;8.6;Period Drama;a death row guard learns that a gentle giant in his charge possesses a mysterious gift.;16;death row guard learns that gentle giant in his charge possesses mysterious gift.;2
